Ref,Label,timestamp,agent.id,agent.ip,agent.name,data.win.system.channel,data.win.system.eventID,data.win.system.processID,data.win.eventdata.threat Name,data.win.eventdata.authenticationPackageName,data.win.eventdata.logonProcessName,data.win.eventdata.ipAddress,data.win.eventdata.destinationIp,data.win.eventdata.destinationPortName,data.win.eventdata.user,data.win.eventdata.parentCommandLine,data.win.eventdata.commandLine,data.win.eventdata.payload,rule.level,rule.id,rule.description,rule.mitre.id,rule.mitre.tactic,rule.mitre.technique
16,Normal,"May 1, 2025 @ 11:19:54.754",15,10.12.25.3,Windows11,Security,4688,4,,,,,,,,,"\""C:\\WINDOWS\\system32\\BackgroundTaskHost.exe\"" -ServerName:BackgroundTaskHost.WebAccountProvider",,3,67027,A process was created.,,,
17,Normal,"May 1, 2025 @ 11:19:54.798",15,10.12.25.3,Windows11,Security,4688,4,,,,,,,,,C:\\WINDOWS\\system32\\svchost.exe -k GPSvcGroup,,3,67027,A process was created.,,,
18,Normal,"May 1, 2025 @ 11:19:55.935",15,10.12.25.3,Windows11,Security,4688,4,,,,,,,,,\\\\?\\C:\\Windows\\System32\\SecurityHealth\\10.0.27777.1008-0\\SecurityHealthHost.exe {08728914-3F57-4D52-9E31-49DAECA5A80A} -Embedding,,3,67027,A process was created.,,,
19,Normal,"May 1, 2025 @ 11:19:58.307",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,"\""C:\\Program Files\\Common Files\\Siemens\\Automation\\Simatic OAM\\bin\\TC.exe\"" -flush",,3,67027,A process was created.,,,
20,Normal,"May 1, 2025 @ 11:20:07.666",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,"\""C:\\Program Files\\Common Files\\Siemens\\Automation\\Simatic OAM\\bin\\TC.exe\"" -flush",,3,67027,A process was created.,,,
21,Normal,"May 1, 2025 @ 11:20:09.281",15,10.12.25.3,Windows11,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
22,Normal,"May 1, 2025 @ 11:20:09.298",15,10.12.25.3,Windows11,Security,4688,4,,,,,,,,,"\""C:\\WINDOWS\\system32\\BackgroundTaskHost.exe\"" -ServerName:BackgroundTaskHost.WebAccountProvider",,3,67027,A process was created.,,,
23,Normal,"May 1, 2025 @ 11:20:09.299",15,10.12.25.3,Windows11,Security,4688,4,,,,,,,,,C:\\WINDOWS\\system32\\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5},,3,67027,A process was created.,,,
24,Normal,"May 1, 2025 @ 11:20:13.031",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,"\""C:\\Program Files\\Common Files\\Siemens\\Automation\\Simatic OAM\\bin\\TC.exe\"" -flush",,3,67027,A process was created.,,,
25,Normal,"May 1, 2025 @ 11:20:15.351",15,10.12.25.3,Windows11,Security,4688,4,,,,,,,,,"C:\\WINDOWS\\System32\\rundll32.exe C:\\WINDOWS\\System32\\shell32.dll,SHCreateLocalServerRunDll {9aa46009-3ce0-458a-a354-715610a075e6} -Embedding",,3,67027,A process was created.,,,
26,Normal,"May 1, 2025 @ 11:20:18.017",15,10.12.25.3,Windows11,Security,4688,4,,,,,,,,,"\""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe\"" --type=utility --utility-sub-type=asset_store.mojom.AssetStoreService --lang=en-GB --service-sandbox-type=asset_store_service --no-pre-read-main-dll --always-read-main-dll --field-trial-handle=2236,i,1229867566859433930,1375094079566523003,262144 --variations-seed-version --mojo-platform-channel-handle=3976 /prefetch:14",,3,67027,A process was created.,,,
27,Normal,"May 1, 2025 @ 11:20:19.697",15,10.12.25.3,Windows11,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
28,Normal,"May 1, 2025 @ 11:20:19.708",15,10.12.25.3,Windows11,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
29,Normal,"May 1, 2025 @ 11:20:19.712",15,10.12.25.3,Windows11,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
30,Normal,"May 1, 2025 @ 11:20:19.714",15,10.12.25.3,Windows11,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
31,Normal,"May 1, 2025 @ 11:20:19.718",15,10.12.25.3,Windows11,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
32,Normal,"May 1, 2025 @ 11:20:19.725",15,10.12.25.3,Windows11,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
33,Normal,"May 1, 2025 @ 11:20:19.757",15,10.12.25.3,Windows11,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
34,Normal,"May 1, 2025 @ 11:20:19.804",15,10.12.25.3,Windows11,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
35,Normal,"May 1, 2025 @ 11:20:19.854",15,10.12.25.3,Windows11,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
36,Normal,"May 1, 2025 @ 11:20:19.854",15,10.12.25.3,Windows11,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
37,Normal,"May 1, 2025 @ 11:20:21.296",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,"\""C:\\Program Files\\Common Files\\Siemens\\Automation\\Simatic OAM\\bin\\TC.exe\"" -flush",,3,67027,A process was created.,,,
38,Normal,"May 1, 2025 @ 11:20:25.628",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,"\""C:\\Program Files\\Common Files\\Siemens\\Automation\\Simatic OAM\\bin\\TC.exe\"" -flush",,3,67027,A process was created.,,,
39,Normal,"May 1, 2025 @ 11:20:25.743",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,C:\\Windows\\System32\\DataExchangeHost.exe -Embedding,,3,67027,A process was created.,,,
40,Normal,"May 1, 2025 @ 11:20:26.043",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,"\""C:\\Program Files\\Common Files\\Siemens\\Automation\\Simatic OAM\\bin\\TC.exe\"" -flush",,3,67027,A process was created.,,,
41,Normal,"May 1, 2025 @ 11:20:26.347",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,"\""C:\\Program Files\\Common Files\\Siemens\\Automation\\Simatic OAM\\bin\\TC.exe\"" -flush",,3,67027,A process was created.,,,
42,Normal,"May 1, 2025 @ 11:20:26.362",16,10.12.25.5,Windows11EWS,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
43,Normal,"May 1, 2025 @ 11:20:26.476",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,"\""C:\\WINDOWS\\system32\\BackgroundTaskHost.exe\"" -ServerName:BackgroundTaskHost.WebAccountProvider",,3,67027,A process was created.,,,
44,Normal,"May 1, 2025 @ 11:20:26.476",16,10.12.25.5,Windows11EWS,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
45,Normal,"May 1, 2025 @ 11:20:26.520",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding,,3,67027,A process was created.,,,
46,Normal,"May 1, 2025 @ 11:20:26.521",16,10.12.25.5,Windows11EWS,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
47,Normal,"May 1, 2025 @ 11:20:26.572",16,10.12.25.5,Windows11EWS,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
48,Normal,"May 1, 2025 @ 11:20:26.584",16,10.12.25.5,Windows11EWS,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
49,Normal,"May 1, 2025 @ 11:20:26.620",16,10.12.25.5,Windows11EWS,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
50,Normal,"May 1, 2025 @ 11:20:26.666",16,10.12.25.5,Windows11EWS,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
51,Normal,"May 1, 2025 @ 11:20:26.694",16,10.12.25.5,Windows11EWS,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
52,Normal,"May 1, 2025 @ 11:20:26.694",16,10.12.25.5,Windows11EWS,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
53,Normal,"May 1, 2025 @ 11:20:26.720",16,10.12.25.5,Windows11EWS,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
54,Normal,"May 1, 2025 @ 11:20:26.747",16,10.12.25.5,Windows11EWS,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
55,Normal,"May 1, 2025 @ 11:20:26.773",16,10.12.25.5,Windows11EWS,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
56,Normal,"May 1, 2025 @ 11:20:26.781",16,10.12.25.5,Windows11EWS,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
57,Normal,"May 1, 2025 @ 11:20:26.812",16,10.12.25.5,Windows11EWS,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
58,Normal,"May 1, 2025 @ 11:20:27.042",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,"\""C:\\Program Files\\Common Files\\Siemens\\Automation\\Simatic OAM\\bin\\TC.exe\"" -flush",,3,67027,A process was created.,,,
59,Normal,"May 1, 2025 @ 11:20:27.043",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,"\""C:\\WINDOWS\\system32\\usoclient.exe\"" StartWork",,3,67027,A process was created.,,,
60,Normal,"May 1, 2025 @ 11:20:27.167",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,"\""C:\\WINDOWS\\uus\\packages\\preview\\AMD64\\MoUsoCoreWorker.exe\"" useprivatenamespaces",,3,67027,A process was created.,,,
61,Normal,"May 1, 2025 @ 11:20:27.182",16,10.12.25.5,Windows11EWS,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
62,Normal,"May 1, 2025 @ 11:20:27.212",16,10.12.25.5,Windows11EWS,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
63,Normal,"May 1, 2025 @ 11:20:27.264",16,10.12.25.5,Windows11EWS,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
64,Normal,"May 1, 2025 @ 11:20:27.279",16,10.12.25.5,Windows11EWS,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
65,Normal,"May 1, 2025 @ 11:20:27.332",16,10.12.25.5,Windows11EWS,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
66,Normal,"May 1, 2025 @ 11:20:27.372",16,10.12.25.5,Windows11EWS,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
67,Normal,"May 1, 2025 @ 11:20:27.372",16,10.12.25.5,Windows11EWS,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
68,Normal,"May 1, 2025 @ 11:20:27.408",16,10.12.25.5,Windows11EWS,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
69,Normal,"May 1, 2025 @ 11:20:27.423",16,10.12.25.5,Windows11EWS,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
70,Normal,"May 1, 2025 @ 11:20:27.456",16,10.12.25.5,Windows11EWS,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
71,Normal,"May 1, 2025 @ 11:20:27.472",16,10.12.25.5,Windows11EWS,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
72,Normal,"May 1, 2025 @ 11:20:27.506",16,10.12.25.5,Windows11EWS,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
73,Normal,"May 1, 2025 @ 11:20:27.551",16,10.12.25.5,Windows11EWS,Security,4624,940,,Negotiate,Advapi,,,,,,,,3,60106,Windows Logon Success,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
74,Normal,"May 1, 2025 @ 11:20:27.602",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,C:\\WINDOWS\\system32\\svchost.exe -k wusvcs -p,,3,67027,A process was created.,,,
75,Normal,"May 1, 2025 @ 11:20:27.709",16,10.12.25.5,Windows11EWS,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
76,Normal,"May 1, 2025 @ 11:20:27.734",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,"\""C:\\WINDOWS\\system32\\BackgroundTaskHost.exe\"" -ServerName:BackgroundTaskHost.WebAccountProvider",,3,67027,A process was created.,,,
77,Normal,"May 1, 2025 @ 11:20:27.734",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,"\""C:\\Program Files\\Common Files\\Siemens\\Automation\\Simatic OAM\\bin\\TC.exe\"" -flush",,3,67027,A process was created.,,,
78,Normal,"May 1, 2025 @ 11:20:28.165",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,"\""C:\\Program Files\\Common Files\\Siemens\\Automation\\Simatic OAM\\bin\\TC.exe\"" -flush",,3,67027,A process was created.,,,
79,Normal,"May 1, 2025 @ 11:20:28.565",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,"\""C:\\Program Files\\Common Files\\Siemens\\Automation\\Simatic OAM\\bin\\TC.exe\"" -flush",,3,67027,A process was created.,,,
80,Normal,"May 1, 2025 @ 11:20:28.816",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,"\""C:\\Program Files\\Common Files\\Siemens\\Automation\\Simatic OAM\\bin\\TC.exe\"" -flush",,3,67027,A process was created.,,,
81,Normal,"May 1, 2025 @ 11:20:29.265",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,"\""C:\\Program Files\\Common Files\\Siemens\\Automation\\Simatic OAM\\bin\\TC.exe\"" -flush",,3,67027,A process was created.,,,
82,Normal,"May 1, 2025 @ 11:20:29.696",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,"\""C:\\Program Files\\Common Files\\Siemens\\Automation\\Simatic OAM\\bin\\TC.exe\"" -flush",,3,67027,A process was created.,,,
83,Normal,"May 1, 2025 @ 11:20:30.193",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,"\""C:\\Program Files\\Common Files\\Siemens\\Automation\\Simatic OAM\\bin\\TC.exe\"" -flush",,3,67027,A process was created.,,,
84,Normal,"May 1, 2025 @ 11:20:30.564",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,"\""C:\\Program Files\\Common Files\\Siemens\\Automation\\Simatic OAM\\bin\\TC.exe\"" -flush",,3,67027,A process was created.,,,
85,Normal,"May 1, 2025 @ 11:20:32.310",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,"\""C:\\Program Files\\Common Files\\Siemens\\Automation\\Simatic OAM\\bin\\TC.exe\"" -flush",,3,67027,A process was created.,,,
86,Normal,"May 1, 2025 @ 11:20:34.215",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,"C:\\WINDOWS\\system32\\rundll32.exe C:\\WINDOWS\\system32\\AppXDeploymentExtensions.OneCore.dll,ShellRefresh",,3,67027,A process was created.,,,
87,Normal,"May 1, 2025 @ 11:20:34.400",16,10.12.25.5,Windows11EWS,System,20,1256,,,,,,,,,,,5,61102,Windows System error event,,,
88,Normal,"May 1, 2025 @ 11:20:35.831",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,"\""C:\\Program Files\\Common Files\\Siemens\\Automation\\Simatic OAM\\bin\\TC.exe\"" -flush",,3,67027,A process was created.,,,
89,Normal,"May 1, 2025 @ 11:20:39.080",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,"\""C:\\Program Files\\Common Files\\Siemens\\Automation\\Simatic OAM\\bin\\TC.exe\"" -flush",,3,67027,A process was created.,,,
90,Normal,"May 1, 2025 @ 11:20:39.086",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,taskhostw.exe,,3,67027,A process was created.,,,
91,Normal,"May 1, 2025 @ 11:20:42.318",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,"\""C:\\Program Files\\Common Files\\Siemens\\Automation\\Simatic OAM\\bin\\TC.exe\"" -flush",,3,67027,A process was created.,,,
92,Normal,"May 1, 2025 @ 11:20:45.207",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,C:\\WINDOWS\\system32\\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5},,3,67027,A process was created.,,,
93,Normal,"May 1, 2025 @ 11:20:45.207",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,"\""C:\\Program Files\\Common Files\\Siemens\\Automation\\Simatic OAM\\bin\\TC.exe\"" -flush",,3,67027,A process was created.,,,
94,Normal,"May 1, 2025 @ 11:20:48.971",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,"\""C:\\Program Files\\Common Files\\Siemens\\Automation\\Simatic OAM\\bin\\TC.exe\"" -flush",,3,67027,A process was created.,,,
95,Normal,"May 1, 2025 @ 11:20:52.264",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,"\""C:\\Program Files\\Common Files\\Siemens\\Automation\\Simatic OAM\\bin\\TC.exe\"" -flush",,3,67027,A process was created.,,,
96,Normal,"May 1, 2025 @ 11:20:55.630",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,"\""C:\\Program Files\\Common Files\\Siemens\\Automation\\Simatic OAM\\bin\\TC.exe\"" -flush",,3,67027,A process was created.,,,
97,Normal,"May 1, 2025 @ 11:20:58.952",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,"\""C:\\Program Files\\Common Files\\Siemens\\Automation\\Simatic OAM\\bin\\TC.exe\"" -flush",,3,67027,A process was created.,,,
98,Normal,"May 1, 2025 @ 11:21:02.275",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,"\""C:\\Program Files\\Common Files\\Siemens\\Automation\\Simatic OAM\\bin\\TC.exe\"" -flush",,3,67027,A process was created.,,,
99,Normal,"May 1, 2025 @ 11:21:05.536",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,"\""C:\\Program Files\\Common Files\\Siemens\\Automation\\Simatic OAM\\bin\\TC.exe\"" -flush",,3,67027,A process was created.,,,
100,Normal,"May 1, 2025 @ 11:21:07.475",15,10.12.25.3,Windows11,Security,4688,4,,,,,,,,,"\""C:\\WINDOWS\\system32\\DllHost.exe\"" /Processid:{9F156763-7844-4DC4-B2B1-901F640F5155}",,3,67027,A process was created.,,,
101,Normal,"May 1, 2025 @ 11:21:07.523",15,10.12.25.3,Windows11,Security,4673,4,,,,,,,,,,,4,60107,Failed attempt to perform a privileged operation,"[""T1078""]","[""Defense Evasion"", Persistence, Privilege Escalation, Initial Access]","[""Valid Accounts""]"
102,Normal,"May 1, 2025 @ 11:21:08.793",16,10.12.25.5,Windows11EWS,Security,4688,4,,,,,,,,,"\""C:\\Program Files\\Common Files\\Siemens\\Automation\\Simatic OAM\\bin\\TC.exe\"" -flush",,3,67027,A process was created.,,,
